id,db_created_time,session_created_time,user_id,session_type
92,2024-05-02 12:42:27.128058+00,1714642123037,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
93,2024-05-02 12:43:22.252037+00,1714653800800,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
94,2024-05-02 12:44:04.810602+00,1714653800800,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
95,2024-05-02 12:45:00.814904+00,1714653898100,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
96,2024-05-02 14:59:14.987972+00,1714661953040,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
97,2024-05-02 14:59:44.804242+00,1714661953040,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
98,2024-05-02 15:00:15.907494+00,1714662012780,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
99,2024-05-02 15:00:27.675002+00,1714662012780,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
100,2024-05-02 15:57:17.401848+00,1714653898100,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
101,2024-05-02 15:57:26.060766+00,1714665445399,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
102,2024-05-02 16:02:23.366322+00,1714665445399,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
103,2024-05-02 16:02:27.043246+00,1714665746693,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
104,2024-05-02 16:02:33.72431+00,1714665746693,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
105,2024-05-02 16:02:59.597871+00,1714665777821,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
106,2024-05-02 16:08:19.463895+00,1714666097395,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
107,2024-05-02 16:09:33.056922+00,1714665777821,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
108,2024-05-02 16:09:38.98073+00,1714666178253,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
109,2024-05-02 16:09:48.77505+00,1714666178253,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
110,2024-05-02 16:10:05.845634+00,1714666205428,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
111,2024-05-02 16:11:29.990677+00,1714569509564,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,ended
112,2024-05-02 16:12:26.796168+00,1714666344281,user_2fv0fDkDyb3i704tflTsiu8FFji,started
113,2024-05-02 16:13:08.427244+00,1714666097395,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,ended
114,2024-05-02 16:13:10.870967+00,1714666344281,user_2fv0fDkDyb3i704tflTsiu8FFji,ended
115,2024-05-02 16:13:18.173508+00,1714666397586,user_2fv0fDkDyb3i704tflTsiu8FFji,started
116,2024-05-02 16:13:57.676725+00,1714666205428,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
