id,created_at,user_id,path,scroll_depth
320,2024-04-29 16:52:30.083617+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/economy/84909186-fd60-47e5-8996-3d099a23a632/us-economy-resilience-questions-fed-rate-cuts?,80.7738814993954
321,2024-04-29 16:54:55.23335+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,81.07810781078108
322,2024-04-29 17:19:09.25215+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/economy/84909186-fd60-47e5-8996-3d099a23a632/us-economy-resilience-questions-fed-rate-cuts?,80.53204353083434
323,2024-04-29 17:19:15.725454+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/economy/84909186-fd60-47e5-8996-3d099a23a632/us-economy-resilience-questions-fed-rate-cuts?,80.65296251511487
324,2024-04-29 17:20:00.236692+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/economy/84909186-fd60-47e5-8996-3d099a23a632/us-economy-resilience-questions-fed-rate-cuts?,80.21338506304558
325,2024-04-29 17:24:29.008667+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/economy/84909186-fd60-47e5-8996-3d099a23a632/us-economy-resilience-questions-fed-rate-cuts?,81.47429679922405
326,2024-04-29 17:37:24.342375+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,80.85808580858085
327,2024-04-29 17:37:37.239927+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,80.19801980198021
328,2024-04-29 17:51:25.504738+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,80.10899182561307
329,2024-04-29 17:51:33.710348+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy/b01ec2ed-5b74-4db3-af45-241f03c18d4e/us-economy-resilience-questions-fed-rate-cuts?,82.75862068965517
330,2024-04-29 17:52:14.813083+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy/b01ec2ed-5b74-4db3-af45-241f03c18d4e/us-economy-resilience-questions-fed-rate-cuts?,81.22605363984674
331,2024-04-29 18:04:52.389711+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy/b01ec2ed-5b74-4db3-af45-241f03c18d4e/us-economy-resilience-questions-fed-rate-cuts?,99.36143039591315
332,2024-04-29 18:04:53.142494+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy/b01ec2ed-5b74-4db3-af45-241f03c18d4e/us-economy-resilience-questions-fed-rate-cuts?,81.28991060025544
333,2024-04-29 18:08:45.103487+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy?,80.41125541125541
334,2024-04-29 18:08:49.963069+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy?,80.62770562770562
335,2024-04-29 18:09:03.043534+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy/b01ec2ed-5b74-4db3-af45-241f03c18d4e/us-economy-resilience-questions-fed-rate-cuts?,82.6309067688378
336,2024-04-29 18:09:10.358086+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy/b01ec2ed-5b74-4db3-af45-241f03c18d4e/us-economy-resilience-questions-fed-rate-cuts?,81.60919540229885
337,2024-04-29 18:13:59.404334+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy/b01ec2ed-5b74-4db3-af45-241f03c18d4e/us-economy-resilience-questions-fed-rate-cuts?,80.90322580645162
