id,created_at,user_id,slant,complexity,entertainment,sentiment
307,2024-05-03 12:45:13.49747+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,100,0
308,2024-05-03 12:45:46.124866+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,100,0,0,0
309,2024-05-03 12:45:56.319037+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,0,0,0,0
310,2024-05-03 12:46:37.753122+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,100
311,2024-05-03 12:47:35.239972+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,0,0,0,0
312,2024-05-03 12:47:57.028825+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,100,0,0,0
313,2024-05-03 12:55:59.393338+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
314,2024-05-03 12:58:16.614203+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
315,2024-05-03 14:33:37.127846+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
316,2024-05-03 14:41:56.34302+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
317,2024-05-03 15:15:47.986759+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
318,2024-05-03 16:18:38.361234+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
319,2024-05-03 16:18:44.36284+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
320,2024-05-03 16:21:54.344774+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
321,2024-05-03 16:23:09.502541+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
322,2024-05-03 16:23:23.556102+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
323,2024-05-03 16:23:35.331496+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
324,2024-05-03 16:23:44.231046+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
325,2024-05-03 16:23:52.455205+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
326,2024-05-03 16:24:05.022838+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
327,2024-05-03 16:24:12.548229+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
328,2024-05-03 16:24:22.190175+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
329,2024-05-03 16:24:29.509874+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
330,2024-05-03 16:24:36.638598+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
331,2024-05-03 16:24:45.309254+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
332,2024-05-03 16:25:02.48391+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
333,2024-05-03 16:25:08.008865+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
334,2024-05-03 16:25:14.214525+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
335,2024-05-03 16:25:27.634932+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
336,2024-05-03 16:25:38.196253+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
337,2024-05-03 16:25:49.111462+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
338,2024-05-03 16:26:56.834067+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
339,2024-05-03 16:27:08.052359+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
340,2024-05-03 16:27:46.778909+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
341,2024-05-03 16:27:59.24879+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
342,2024-05-03 16:28:06.613533+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
343,2024-05-03 16:28:33.646981+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
344,2024-05-03 16:30:46.367204+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
345,2024-05-03 16:33:07.499898+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
346,2024-05-03 16:33:10.562528+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
347,2024-05-03 16:34:48.733355+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
348,2024-05-03 16:35:25.553732+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
349,2024-05-03 16:35:36.276097+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
350,2024-05-03 16:35:54.515833+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
351,2024-05-03 17:10:17.046451+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
352,2024-05-03 17:24:19.508318+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
353,2024-05-03 17:25:05.306891+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
354,2024-05-03 17:33:52.836469+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,100,0
